x,g_m(S),r_pi(Ohms),r_o(Ohms)
1e-06,3.868471953578336e-05,2585000.0,60000000.0
1.2067926406393288e-06,4.6684434840979836e-05,2142041.567829359,49718566.37128106
1.4563484775012444e-06,5.633843239850075e-05,1774987.2643361152,41198930.700257994
1.757510624854793e-06,6.798880560366703e-05,1470830.368501229,34139196.17410976
2.1209508879201924e-06,8.204839024836334e-05,1218792.9549537355,28289198.18074434
2.5595479226995334e-06,9.901539352802836e-05,1009943.9737286195,23441639.622327723
3.0888435964774785e-06,0.00011949104821963165,836882.7748183617,19424745.25690588
3.727593720314938e-06,0.00014420091761373067,693476.8630798096,16096174.771678364
4.498432668969444e-06,0.00017402060614968835,574644.5907330216,13337978.895157173
5.428675439323859e-06,0.00021000678682103904,476175.0870709562,11052419.815960297
6.5512855685955095e-06,0.0002534346448199423,394579.04451479786,9158507.803051399
7.906043210907702e-06,0.0003058430642517486,326965.073557094,7589131.301131775
9.540954763499944e-06,0.00036908915912959163,270937.24517898617,6288678.804928112
1.1513953993264481e-05,0.0004454140809773494,224510.1901147245,5211068.242508112
1.3894954943731361e-05,0.0005375224349605943,186038.74647079798,4318114.038006917
1.6768329368110066e-05,0.0006486781186889773,154159.6627339717,3578173.989956789
2.0235896477251556e-05,0.000782819979777623,127743.29039022123,2965028.016794303
2.4420530945486497e-05,0.0009447013905410636,105853.55436253407,2456949.0374282566
2.94705170255181e-05,0.0011400586857066963,87714.78280349426,2035933.0631371976
3.5564803062231284e-05,0.0013758144318077865,72684.22084263388,1687061.2187845386
4.291934260128778e-05,0.0016603227311910165,60229.25430182237,1397971.0863092232
5.1794746792312125e-05,0.0020036652530875097,49908.536291632,1158418.6373299498
6.250551925273976e-05,0.002418008481730745,41356.34790181659,959915.2317636344
7.543120063354608e-05,0.0029180348407561343,34269.63880050436,795426.8193540665
9.102981779915228e-05,0.0035214629709536664,28397.28852037835,659124.6851925344
0.00010985411419875583,0.0042496755976307865,23531.207901080837,546178.9067949131
0.00013257113655901082,0.00512847723632537,19498.9653637717,452587.2038012773
0.00015998587196060574,0.006189008586483781,16157.676726833228,375033.11551643856
0.00019306977288832496,0.007468850015022242,13388.942045812684,310768.4807538728
0.00023299518105153718,0.009013353232167782,11094.650062432893,257516.0556077267
0.0002811768697974228,0.010877248348062776,9193.501591586799,213388.81837338794
0.0003393221771895326,0.013126583256848456,7618.128651096436,176823.10215310878
0.0004094915062380423,0.015841064071104152,6312.707249408266,146523.18567291915
0.0004941713361323833,0.019116879540904574,5230.979239369533,121415.37886350947
0.0005963623316594642,0.023070109541952193,4334.613141656457,100609.9762086605
0.0007196856730011514,0.027840838413971038,3591.845852954564,83369.72966238833
0.000868511373751352,0.03359811890720897,2976.357107258869,69083.72395958689
0.0010481131341546852,0.040545962636544884,2466.3368063647354,57245.72858099966
0.0012648552168552957,0.04893056931741956,2043.712170019641,47436.25926544621
0.0015264179671752318,0.05904905095455442,1693.5073194819408,39307.713411573095
0.0018420699693267144,0.07125996012869301,1403.3126010652193,32572.05263594319
0.002222996482526193,0.08599599545555872,1162.8448449286027,26990.596013816692
0.0026826957952797246,0.10377933444022144,963.5829767014126,22365.56232188965
0.0032374575428176433,0.1252401370529069,798.466069689429,18533.06157886489
0.003906939937054613,0.1511388757081088,661.6431380178308,15357.287536197231
0.00471486636345739,0.18239328291904797,548.2658045273697,12725.705327521155
0.005689866029018293,0.22011087152875408,454.316496524964,10545.063749128758
0.006866488450042998,0.2656281798856092,376.46608143407167,8738.090865007467
0.008286427728546842,0.320558132632373,311.95589760526656,7240.755843835974
0.01,0.38684719535783363,258.5,6000.0
